Part,Color,Quantity
32083,0,1000
6153apr0002,0,1000
42445,0,1000
4066pr0082,14,1000
60593,0,1000
3297pr0018,15,1000
98282,0,1000
11610,10,1000
14418,71,1000
2339,0,1000
4088pr0002,15,1000
30477pr0001,8,1000
31005pr0021,4,1000
3146c01,4,1000
3437pr0068,0,1000
33009,0,1000
31212pr0003,14,1000
3437pr0017,25,1000
85080,19,1000
4066pr0133,14,1000
6092pr0002,19,1000
30271pr0002,2,1000
6092pr0001,8,1000
45644pr0001,15,1000
3004pr9989,14,1000
31219pr0001,4,1000
2476a,8,1000
3680c02,15,1000
6895a,15,1000
48933pr0007,70,1000
22385,47,1000
6890c01pr0002,18,1000
5057,25,1000
30080c02,7,1000
15535pr0010,15,1000
41749,33,1000
54091,0,1000
6153apr0003,1,1000
103918pat0001,15,1000
1126pr0004,19,1000
11610,484,1000
4855,8,1000
14704,72,1000
76766,0,1000
3041,0,1000
90194,0,1000
4066pr0081,1,1000
50967,0,1000
43857,0,1000
32310pr0007,14,1000
30259pr0005,14,1000
3070bpr0046,2,1000
30554b,0,1000
31300c03,0,1000
30153,33,1000
32288c02,0,1000
31214pr0001,14,1000
42448,0,1000
71155,0,1000
60601,40,1000
30029,0,1000
4182,0,1000
98138,0,1000
32531,0,1000
4341,0,1000
90195,0,1000
30350b,1,1000
51725,14,1000
6890c01pr0004,120,1000
30633pr0002,143,1000
30600pr0008,462,1000
3830,19,1000
3005,182,1000
46212,47,1000
6179pr9988,15,1000
50944pr0002,0,1000
92474,47,1000
27925pr0018,15,1000
60592,288,1000
47543,47,1000
48933pr0008,272,1000
3069bpr0152,4,1000
3524pr0004,2,1000
2431pr9976,70,1000
85834pr0007,272,1000
3069bpr0170,4,1000
3437pr0019,11,1000
71801pr0002,100,1000
32349,57,1000
1126pr0006,19,1000
11610,72,1000
31111pr9982,2,1000
5489,15,1000
41765,0,1000
30279pr0001,2,1000
2571,52,1000
3960,52,1000
30387pr0001,14,1000
4151b,0,1000
3942cpr0003,15,1000
32173,0,1000
57894,0,1000
30261pr0007,15,1000
42061,0,1000
30261pr0010,15,1000
30250pr0003,4,1000
30153,45,1000
32310pr0006,27,1000
