name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
lantliv,Misc,12,17,5,0.8402777777777778,2.833333333333333,10.833333333333334,17,0.1999999999999999,4,False,,,,,
vittsjo,Misc,13,22,6,0.9538461538461538,3.3846153846153846,14.923076923076923,22,0.3369963369963369,4,False,,,,,
vesken,Misc,17,21,3,0.7230392156862745,2.4705882352941178,7.411764705882353,21,0.0,6,False,,,,,
askholmen,Misc,5,7,4,1.0,2.8,8.8,7,0.8,3,False,,,,,
satsumas,Misc,7,11,2,1.0,3.142857142857143,13.142857142857142,11,0.8095238095238095,3,False,,,,,
smussla,Misc,22,31,4,0.5858585858585859,2.8181818181818183,15.181818181818182,31,0.1755050505050505,4,False,,,,,
vittsjo_2,Misc,7,9,4,1.0,2.571428571428572,8.285714285714286,9,0.0,4,False,,,,,
olivblad,Misc,17,19,7,0.8627450980392157,2.235294117647059,6.941176470588236,19,0.0392156862745098,7,False,,,,,
satsumas_2,Misc,22,24,4,0.9595959595959596,2.1818181818181817,8.181818181818182,24,0.0,4,False,,,,,
vaniljstang,Misc,7,13,4,0.9523809523809524,3.7142857142857135,14.571428571428571,13,0.5619047619047619,4,False,,,,,
lantliv_2,Misc,7,8,5,0.9821428571428572,2.2857142857142856,6.571428571428571,8,0.0,4,False,,,,,
applaro_2,Bench,7,10,5,0.9821428571428572,2.857142857142857,9.142857142857142,10,0.238095238095238,4,False,,,,,
applaro_3,Bench,28,29,6,0.8316326530612244,2.071428571428572,6.928571428571429,29,0.0493197278911564,4,False,,,,,
hemnes_2,Bench,27,34,5,0.834045584045584,2.5185185185185186,15.703703703703704,34,0.0759734093067426,4,False,,,,,
hemnes,Bench,17,26,7,0.865359477124183,3.0588235294117645,12.0,26,0.1176470588235294,8,False,,,,,
sjalland,Bench,4,4,3,1.0,2.0,4.0,4,0.0,4,False,,,,,
tjusig,Bench,24,35,4,0.949074074074074,2.9166666666666665,16.916666666666668,35,0.0568181818181818,4,False,,,,,
applaro,Bench,4,4,3,1.0,2.0,4.0,4,0.0,4,False,,,,,
silveran,Bench,22,38,5,0.8011363636363636,3.4545454545454546,19.27272727272728,38,0.1995670995670996,8,False,,,,,
pahl,Desk,15,16,4,0.9333333333333332,2.1333333333333333,5.333333333333333,16,0.0,4,False,,,,,
fredrik,Desk,7,12,4,1.0,3.4285714285714284,13.142857142857142,12,0.3428571428571428,4,False,,,,,
flisat,Desk,28,36,7,0.8452380952380953,2.571428571428572,10.5,36,0.0908163265306122,6,False,,,,,
alex,Desk,17,27,8,0.9264705882352942,3.176470588235294,14.705882352941176,27,0.3109243697478991,5,False,,,,,
poang_1,Chair,5,6,3,1.0,2.4,6.0,6,0.0,4,False,,,,,
jules_1,Chair,8,7,4,1.0,1.75,5.75,7,0.0,0,False,,,,,
sigurd,Chair,10,13,6,0.88,2.6,8.6,13,0.2866666666666667,4,False,,,,,
borje,Chair,5,6,4,1.0,2.4,6.8,6,0.6,3,False,,,,,
applaro_2,Chair,12,14,4,0.925925925925926,2.333333333333333,7.0,14,0.1916666666666666,3,False,,,,,
voxlov,Chair,7,10,5,0.9821428571428572,2.857142857142857,9.714285714285714,10,0.3809523809523809,4,False,,,,,
nilsolle,Chair,6,10,5,1.0,3.333333333333333,11.666666666666666,10,0.4444444444444444,4,False,,,,,
bekvam_3017,Chair,10,16,5,0.9666666666666668,3.2,13.0,16,0.2266666666666666,4,False,,,,,
jokkmokk,Chair,8,14,4,1.0,3.5,14.75,14,0.2833333333333333,4,False,,,,,
herman,Chair,5,7,4,1.0,2.8,8.0,7,0.4,4,False,,,,,
