name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
LTC6090_LTC2054_DN513_F02_,ltspice_demos,56,63,25,0.8861607142857143,2.25,6.928571428571429,63,0.0386904761904761,12,,0.0,0.001,0.0,1.0,1.0
LT1964_DC437,ltspice_demos,17,18,11,0.8156862745098039,2.117647058823529,6.0,18,0.0705882352941176,4,,0.0,1.0,0.0,1.0,1.0
LT3509,ltspice_demos,24,27,16,0.8407407407407407,2.25,8.0,27,0.099537037037037,4,,0.0,1.0,0.0,1.0,1.0
LTC6362_LTC5599_Baseband_IQModulator,ltspice_demos,58,66,25,0.8975095785440613,2.2758620689655173,6.965517241379311,66,0.0,16,,0.0,0.001,2.0,30.0,32.0
LTC6993_TA10_LTC6994_,ltspice_demos,52,55,18,0.7209653092006034,2.1153846153846154,6.5,55,0.0089743589743589,4,,0.0,0.01,1.0,20.0,21.0
LTC6993_TA10_LTC6994_,ltspice_demos,52,55,18,0.7209653092006034,2.1153846153846154,6.5,55,0.0089743589743589,4,,1.0,0.01,2.0,21.0,23.0
LTC6993_TA10_LTC6994_,ltspice_demos,52,55,18,0.7209653092006034,2.1153846153846154,6.5,55,0.0089743589743589,4,,2.0,0.01,1.0,21.0,22.0
LTC6993_TA10_LTC6994_,ltspice_demos,52,55,18,0.7209653092006034,2.1153846153846154,6.5,55,0.0089743589743589,4,,3.0,0.01,1.0,23.0,24.0
LTC6993_TA10_LTC6994_,ltspice_demos,52,55,18,0.7209653092006034,2.1153846153846154,6.5,55,0.0089743589743589,4,,4.0,0.01,2.0,24.0,26.0
LT3092,ltspice_demos,10,10,8,0.9714285714285714,2.0,5.4,10,0.0,4,,0.0,1.0,0.0,1.0,1.0
LTC6081_TA04,ltspice_demos,26,33,15,0.943040293040293,2.5384615384615383,8.615384615384615,33,0.0,7,,0.0,0.06,2.0,22.0,24.0
