name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
CID_439318,WHO,70,72,4,0.0,2.057142857142857,5.857142857142857,72,0.0,6,False,,,,,
CID_546977,WHO,58,56,4,0.0,1.9310344827586208,5.655172413793103,56,0.0,0,False,,,,,
CID_450503,WHO,23,23,4,0.0,2.0,5.565217391304348,23,0.0,6,False,,,,,
CID_3467,WHO,76,78,4,0.0,2.0526315789473686,5.947368421052632,78,0.0,6,False,,,,,
CID_4033,WHO,19,18,4,0.0,1.894736842105263,5.368421052631579,18,0.0,0,False,,,,,
CID_4640670,WHO,23,23,5,,2.0,5.565217391304348,22,0.0,6,False,,,,,
CID_8285,WHO,21,20,3,0.0,1.9047619047619049,5.142857142857143,20,0.0,0,False,,,,,
CID_8378,WHO,88,91,4,0.0,2.0681818181818183,5.909090909090909,91,0.0,6,False,,,,,
CID_784,WHO,4,3,2,0.0,1.5,2.5,3,0.0,0,False,,,,,
CID_4101,WHO,22,24,3,0.0,2.1818181818181817,6.545454545454546,24,0.0,8,False,,,,,
CID_3607,WHO,69,69,3,0.0,2.0,5.913043478260869,69,0.0,6,False,,,,,
CID_4746,WHO,55,57,3,0.0,2.0727272727272728,6.327272727272727,57,0.0,6,False,,,,,
CID_157355,WHO,47,47,3,0.0,2.0,5.531914893617022,47,0.0,6,False,,,,,
CID_3032553,WHO,3,2,4,,1.3333333333333333,2.0,0,0.0,0,True,,,,,
CID_2684,WHO,30,32,5,0.0,2.1333333333333333,6.466666666666667,32,0.0,6,False,,,,,
CID_454937,WHO,23,23,5,,2.0,5.565217391304348,22,0.0,6,False,,,,,
CID_76957057,WHO,8,8,2,0.0,2.0,4.0,8,0.0,8,False,,,,,
CID_154701625,WHO,43,33,5,,1.5348837209302326,3.441860465116279,32,0.0,6,False,,,,,
CID_51063134,WHO,69,70,3,0.0,2.028985507246377,5.826086956521739,70,0.0,6,False,,,,,
CID_5793,WHO,24,24,3,0.0,2.0,5.5,24,0.0,6,False,,,,,
