name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
CPX-274,mouse,5,5,1,,2.0,4.0,5,0.0,5,False,,,,,
CPX-2130,mouse,3,2,3,1.0,1.3333333333333333,2.0,2,0.0,0,False,,,,,
CPX-2901,mouse,4,5,3,1.0,2.5,6.5,5,0.8333333333333333,3,False,,,,,
CPX-2875,mouse,3,2,3,1.0,1.3333333333333333,2.0,2,0.0,0,False,,,,,
CPX-6084,mouse,8,16,2,1.0,4.0,16.0,16,0.0,4,False,,,,,
CPX-3286,mouse,3,3,2,1.0,2.0,4.0,3,1.0,3,False,,,,,
CPX-3623,mouse,4,4,2,1.0,2.0,4.0,4,0.0,4,False,,,,,
CPX-16,mouse,3,3,3,1.0,2.0,4.0,3,1.0,3,False,,,,,
CPX-2898,mouse,6,5,3,1.0,1.6666666666666667,3.6666666666666665,5,0.0,0,False,,,,,
CPX-3270,mouse,4,5,3,1.0,2.5,6.5,5,0.8333333333333333,3,False,,,,,
CPX-899,mouse,6,8,3,1.0,2.6666666666666665,7.333333333333333,8,0.5555555555555555,4,False,,,,,
CPX-3251,mouse,3,3,2,1.0,2.0,4.0,3,1.0,3,False,,,,,
CPX-898,mouse,8,7,3,1.0,1.75,3.75,7,0.0,0,False,,,,,
CPX-355,mouse,3,2,3,1.0,1.3333333333333333,2.0,2,0.0,0,False,,,,,
CPX-142,mouse,8,8,2,1.0,2.0,5.0,8,0.0,4,False,,,,,
CPX-2088,mouse,5,4,5,1.0,1.6,3.2,4,0.0,0,False,,,,,
CPX-260,mouse,8,8,2,1.0,2.0,5.0,8,0.0,4,False,,,,,
CPX-145,mouse,3,3,1,,2.0,4.0,3,1.0,3,False,,,,,
CPX-2922,mouse,8,8,3,0.75,2.0,5.0,8,0.0,4,False,,,,,
CPX-328,mouse,3,2,3,1.0,1.3333333333333333,2.0,2,0.0,0,False,,,,,
