name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_2_20_17_7_17_11_18_3_12_3_9_6,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_10_21_2_3_22_5_9_3_16_16_20_14_19_18_5_8_8,bl_3,25,24,8,0.9342857142857144,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_3_6_12_3_10_7_15_19_3,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_15_18_3_2_9_19_2_18_9_22_19_13_8_5_20_5,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_12_14_14_6_2_8_18_5_2_2_8_22_4_19_17_5_5_9_5_19_15_8_9,bl_3,44,43,7,0.9507575757575758,1.9545454545454544,4.2727272727272725,39,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_6_19_12_7_19_2_16_8_20_3_3,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_11_10_19_22_17_5_8_4_8_19_14_20_9_21_18_3_8_3_5_18,bl_3,29,28,8,0.9285714285714286,1.9310344827586208,4.0,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_2_18_18_19_5_10_3_11_3_9_22_20_15_9,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_14_22_20_8_2_14_14_19_20_6_9_2_8_17_3_4_15_20_8,bl_3,36,35,9,0.9305555555555556,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_7_18_16_3_12_12_2_6_17_5_3_8,bl_3,19,18,8,0.9022556390977444,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_2_8_8_14_3_3_16_12_4_17_16_16_8_7_4_17_20_9_20,bl_3,28,27,9,0.9174107142857144,1.9285714285714288,4.0,23,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_22_3_9_17_19_5_14_3_21_2_19_17_8_4_4_5_20_17_18_9_8_8,bl_3,33,32,8,0.9242424242424242,1.93939393939394,4.0,28,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_13_14_15_2_16_20_21_5_8_22_4_4_19_19_5_14_16_3_9_9_8_8_2_8_16_5,bl_3,39,38,8,0.934065934065934,1.948717948717949,4.153846153846154,34,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_22_20_21_5_14_17_19_8_9_2_14_9_5_2_2_8_9_19_14_20_20,bl_3,45,44,7,0.9462962962962964,1.9555555555555555,4.266666666666667,40,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_3_17_20_7_10_6_9_12_3_17_18,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_3_3_21_20_9_10_22_19_2_17_14_16_20_5_9_9,bl_3,25,24,8,0.9342857142857144,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_14_2_17_13_3_14_22_4_15_5_3_8_8_21_15_14_9_20_4_20_17_9_8,bl_3,29,28,8,0.9285714285714286,1.9310344827586208,4.0,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_10_17_6_3_10_2_2_9_22_17_5_9_16_15_8_20_4_4_15_16_9_8_5,bl_3,36,35,9,0.9305555555555556,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_18_14_6_10_7_3_2_17_20_8_2_15_8_4_17_20_8,bl_3,33,32,9,0.9242424242424242,1.93939393939394,4.181818181818182,28,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_18_22_14_18_15_3_5_5_3_9_9_2_9_5_19,bl_3,25,24,7,0.9366666666666666,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_19_2_9_16_22_20_16_6_13_2_8_2_4_16_4_9_4_14_18_9_18_20_14_20_5_9_9_9,bl_3,52,51,8,0.9368131868131868,1.9615384615384608,4.230769230769231,47,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_2_4_2_17_21_16_3_11_5_18_4_16_7_4_18_8_19_14_14_9_9_20_9_4_9_9_17_4_5_9_17_8,bl_3,46,45,9,0.9252717391304348,1.9565217391304348,4.130434782608695,41,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_22_13_3_20_8_19_16_6_15_2_19_3_9_4_15_9_20,bl_3,26,25,9,0.9182692307692308,1.9230769230769231,4.0,21,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_19_12_22_8_2_17_5_5_8_14_21_19_2_14_8_5_8_20_3,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_17_10_22_18_9_3_20_21_2_17_2_4_18_9_16_5_9_18_20_4_14_4_8_20_19_8_9_8,bl_3,45,44,8,0.9285714285714284,1.9555555555555555,4.133333333333334,40,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_17_22_18_8_5_13_21_3_17_5_9_3_2_5_9_18,bl_3,25,24,7,0.9366666666666666,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_7_10_19_2_6_2_20_3_8_5_18_18_19_9,bl_3,29,28,9,0.9267241379310344,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_10_17_16_2_9_4_6_2_5_7_5_9_2_18_8_9_5_17_19_18,bl_3,43,42,7,0.9457364341085271,1.9534883720930232,4.27906976744186,38,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_17_3_3_3_21_7_18_9_12_20,bl_3,12,11,8,0.8988095238095238,1.8333333333333333,3.5,7,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_11_15_7_15_3_10_2_18_5_21_14_5_8_9_3,bl_3,22,21,8,0.9188311688311688,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_17_3_22_18_21_20_18_2_18_5_4_9_2_18_15_19_8_9_4_8_5_9_8_19_20,bl_3,39,38,8,0.934065934065934,1.948717948717949,4.153846153846154,34,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_15_10_7_2_17_2_10_6_14_5_4_4_15_19_20_8_3_9_8_9,bl_3,37,36,9,0.9222972972972971,1.945945945945946,4.162162162162162,32,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_18_11_21_20_15_9_16_3_3_22_14_4_9_2_19_14_8_4_5_16_4_20_9_19_9_8,bl_3,33,32,8,0.9242424242424242,1.93939393939394,4.0,28,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_20_15_7_3_8_14_16_2_11_16_5_8_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_3_11_13_14_3_14_21_19_4_14_3_9_5_9_22_20_14_9,bl_3,17,16,7,0.9166666666666669,1.8823529411764703,3.647058823529412,12,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_12_5_22_14_16_3_15_17_20_2_17_2_9_15_9_8_20_5_9,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_2_14_10_4_6_2_11_18_3_7_18_8_8_17_9_17_4_15_9_4_18_5_5_9,bl_3,41,40,8,0.926829268292683,1.951219512195122,4.146341463414634,36,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_22_20_21_19_5_19_8_2_18_5_16_9_8_3_3,bl_3,25,24,8,0.9342857142857144,1.92,4.0,20,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_14_7_3_2_19_16_10_3_9_10_6_20,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_8_16_14_13_17_2_22_4_5_4_14_18_2_15_8_4_2_19_20_5_8_4_15_4_4_5_16_18_17_18_9_16_4_17_8_4_17_5_9_9_8_9_9_8_9_9,bl_3,73,72,7,0.918949771689498,1.9726027397260275,4.164383561643835,68,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_13_22_14_3_19_19_3_8_20_2_9_17_5,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_16_12_22_8_2_20_8_18_5_19_19_6_3_2_18_8_4_4_20_14_15_8_9,bl_3,40,39,9,0.928125,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_15_12_15_21_7_13_9_2_8_16_15_2_5_2_19_17_5_4_17_5_20_9_8_9,bl_3,46,45,8,0.9425465838509316,1.9565217391304348,4.260869565217392,41,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_19_19_6_2_19_7_11_10_4_19_5_3_8_3_9,bl_3,23,22,8,0.906832298136646,1.9130434782608696,4.0,18,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_16_7_2_14_20_13_13_18_8_2_20_16_2_9_18_9_20,bl_3,39,38,8,0.945054945054945,1.948717948717949,4.307692307692308,34,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_22_2_2_18_10_5_6_15_5_3_20_18_9_14_16_8_9,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_11_11_2_15_21_7_9_16_14_5_4_16_14_4_3_17_5_8_9_9_2_5_18_9,bl_3,36,35,8,0.9345238095238096,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_12_11_21_16_2_15_22_18_19_5_8_9_20_9_2_16_20_3_20_8,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_10_15_7_11_3_21_20_19_2_17_20_3_9_9,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_19_18_12_6_13_2_17_8_3_7_5_2_15_20_8,bl_3,29,28,9,0.9267241379310344,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_6_18_12_2_22_8_3_16_15_20_19_4_18_5_9_2_5_8_15_9,bl_3,36,35,9,0.9305555555555556,1.9444444444444444,4.166666666666667,31,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_19_3_13_7_3_3_6_11,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_14_19_11_2_4_18_22_20_4_18_2_9_15_5_5_9_6_3_9_14_19_9_9,bl_3,40,39,9,0.928125,1.95,4.15,35,0.0,0,,0.0,0.0,0.0,1.0,1.0
